Animal_Id,Dose_mgkg,time_day,Neut_1e3_uL,Plt_1e3_uL,RBC_1e6_uL,Ret_1e9_L
1001,4,-3,2.25,439,5.55,120.60
1001,4,2,8.78,369,4.99,122.40
1001,4,8,6.76,519,4.82,136.80
1001,4,15,4.76,432,5.17,163.40
1001,4,22,2.56,455,5.34,110.80
1002,4,-3,3.25,487,5.67,55.20
1002,4,2,9.73,458,5.17,75.00
1002,4,8,7.08,477,4.76,112.10
1002,4,15,2.86,404,4.99,150.10
1002,4,22,3.73,530,5.35,112.90
2001,13,-3,1.23,350,5.52,80.80
2001,13,2,2.07,305,4.95,95.30
2001,13,8,4.36,337,4.79,56.00
2001,13,15,2.17,370,4.96,175.00
2001,13,22,1.61,367,5.31,154.90
2002,13,-3,2.05,512,5.51,88.90
2002,13,2,5.14,507,5.24,96.10
2002,13,8,3.87,541,4.81,20.90
2002,13,15,3.94,604,5.05,226.90
2002,13,22,8.79,621,5.51,165.30
4001,26,-3,1.51,324,6.48,92.40
4001,26,2,2.20,379,6.23,78.20
4001,26,8,1.20,257,5.58,9.90
4001,26,15,3.62,640,5.16,247.80
4001,26,22,6.36,417,4.94,248.90
4002,26,-3,2.77,334,5.89,71.80
4002,26,2,2.13,474,5.41,49.40
4002,26,8,2.01,435,5.01,15.00
4002,26,15,2.75,569,4.40,451.60
4002,26,22,5.82,760,4.92,222.20
3101,39,-3,1.65,712,5.73,53.20
3101,39,2,3.86,793,5.14,60.90
3101,39,8,1.66,631,5.33,24.50
3101,39,12,3.75,434,4.45,20.20
3002,39,-3,1.16,332,6.10,97.30
3002,39,2,2.58,331,5.47,98.50
3002,39,8,2.32,291,6.22,26.70
3002,39,12,NA,NA,NA,NA
